VIN,YEAR,MAKE,MODEL,SOURCE,SOURCE_CITY,SOURCE_STATE,RESIDUAL,STATUS,WEEK,ASSIGNED_DEALER,NOTES
VIN_XXXXXXXXXX037,2024,HYUNDAI,IONIQ 5 SEL,D013,Dallas,TX,25700,Grounded,2025-11-17,,Grounded at Dealer_M
VIN_XXXXXXXXXX038,2022,HYUNDAI,IONIQ 5 SE,D031,Salt Lake City,UT,14600,Grounded,2025-10-13,,Grounded at Dealer_EE
VIN_XXXXXXXXXX039,2023,HYUNDAI,IONIQ 5 Limited,D010,Philadelphia,PA,23450,Grounded,2025-11-17,,Grounded at Dealer_J
VIN_XXXXXXXXXX040,2023,HYUNDAI,IONIQ 5 Limited,D017,Juneau,AK,17700,Grounded,2025-11-10,,Grounded at Dealer_Q
VIN_XXXXXXXXXX041,2023,HYUNDAI,IONIQ 5 Limited,D014,Las Vegas,NV,22600,Grounded,2025-12-01,,Grounded at Dealer_N
VIN_XXXXXXXXXX042,2023,HYUNDAI,IONIQ 5 Limited,D048,Lincoln,NE,21350,Grounded,2025-11-24,,Grounded at Dealer_VV
VIN_XXXXXXXXXX043,2022,HYUNDAI,IONIQ 5 SE,D026,Cheyenne,WY,16400,Grounded,2025-10-13,,Grounded at Dealer_Z
VIN_XXXXXXXXXX044,2022,HYUNDAI,IONIQ 5 SE,D024,Helena,MT,13650,Grounded,2025-12-08,,Grounded at Dealer_X
VIN_XXXXXXXXXX045,2023,HYUNDAI,IONIQ 5 Limited,D032,Birmingham,AL,24300,Grounded,2025-11-17,,Grounded at Dealer_FF
VIN_XXXXXXXXXX046,2022,HYUNDAI,IONIQ 5 SE,D002,Sacramento,CA,13450,Grounded,2025-10-13,,Grounded at Dealer_B
VIN_XXXXXXXXXX047,2022,HYUNDAI,IONIQ 5 SE,D022,Minneapolis,MN,15650,Grounded,2026-01-26,,Grounded at Dealer_V
VIN_XXXXXXXXXX048,2022,HYUNDAI,IONIQ 5 SE,D033,Los Angeles,CA,17450,Grounded,2025-11-24,,Grounded at Dealer_GG
VIN_XXXXXXXXXX049,2022,HYUNDAI,IONIQ 5 SE,D029,Jackson,MS,16150,Grounded,2025-10-20,,Grounded at Dealer_CC
VIN_XXXXXXXXXX050,2022,HYUNDAI,IONIQ 5 SE,D006,Olympia,WA,15200,Grounded,2026-02-02,,Grounded at Dealer_F
VIN_XXXXXXXXXX051,2022,HYUNDAI,IONIQ 5 SE,D001,Portland,OR,15700,Grounded,2025-10-13,,Grounded at Dealer_A
VIN_XXXXXXXXXX052,2024,HYUNDAI,IONIQ 5 SEL,D003,Albuquerque,NM,21500,Grounded,2025-10-13,,Grounded at Dealer_C
VIN_XXXXXXXXXX053,2023,HYUNDAI,IONIQ 5 Limited,D006,Olympia,WA,21400,Grounded,2025-11-10,,Grounded at Dealer_F
VIN_XXXXXXXXXX054,2022,HYUNDAI,IONIQ 5 SE,D023,Atlanta,GA,15400,Grounded,2025-10-13,,Grounded at Dealer_W
VIN_XXXXXXXXXX055,2022,HYUNDAI,IONIQ 5 SE,D029,Jackson,MS,13550,Grounded,2025-11-24,,Grounded at Dealer_CC
VIN_XXXXXXXXXX056,2023,HYUNDAI,IONIQ 5 Limited,D032,Birmingham,AL,18700,Grounded,2025-11-10,,Grounded at Dealer_FF
VIN_XXXXXXXXXX057,2023,HYUNDAI,IONIQ 5 Limited,D024,Helena,MT,21900,Grounded,2025-12-15,,Grounded at Dealer_X
VIN_XXXXXXXXXX058,2024,HYUNDAI,IONIQ 5 SEL,D010,Philadelphia,PA,23550,Grounded,2025-12-15,,Grounded at Dealer_J
VIN_XXXXXXXXXX059,2024,HYUNDAI,IONIQ 5 SEL,D013,Dallas,TX,23600,Grounded,2025-11-17,,Grounded at Dealer_M
VIN_XXXXXXXXXX060,2024,HYUNDAI,IONIQ 5 SEL,D046,Providence,RI,22950,Grounded,2026-01-05,,Grounded at Dealer_TT
VIN_XXXXXXXXXX061,2024,HYUNDAI,IONIQ 5 SEL,D036,San Diego,CA,21150,Grounded,2025-10-20,,Grounded at Dealer_JJ
VIN_XXXXXXXXXX062,2022,HYUNDAI,IONIQ 5 SE,D050,Salem,OR,16800,Grounded,2025-10-13,,Grounded at Dealer_XX
VIN_XXXXXXXXXX063,2024,HYUNDAI,IONIQ 5 SEL,D010,Philadelphia,PA,20950,Grounded,2026-01-19,,Grounded at Dealer_J
VIN_XXXXXXXXXX064,2023,HYUNDAI,IONIQ 5 Limited,D048,Lincoln,NE,18100,Grounded,2025-12-29,,Grounded at Dealer_VV
VIN_XXXXXXXXXX065,2023,HYUNDAI,IONIQ 5 Limited,D015,Boston,MA,19650,Grounded,2026-01-12,,Grounded at Dealer_O
VIN_XXXXXXXXXX066,2024,HYUNDAI,IONIQ 5 SEL,D009,Charleston,SC,21550,Grounded,2025-12-22,,Grounded at Dealer_I
VIN_XXXXXXXXXX067,2022,HYUNDAI,IONIQ 5 SE,D030,San Antonio,TX,14600,Grounded,2026-02-02,,Grounded at Dealer_DD
VIN_XXXXXXXXXX068,2024,HYUNDAI,IONIQ 5 SEL,D026,Cheyenne,WY,25650,Grounded,2026-02-02,,Grounded at Dealer_Z
VIN_XXXXXXXXXX069,2024,HYUNDAI,IONIQ 5 SEL,D048,Lincoln,NE,24100,Grounded,2025-12-22,,Grounded at Dealer_VV
VIN_XXXXXXXXXX070,2023,HYUNDAI,IONIQ 5 Limited,D023,Atlanta,GA,23200,Grounded,2026-01-12,,Grounded at Dealer_W
VIN_XXXXXXXXXX071,2024,HYUNDAI,IONIQ 5 SEL,D003,Albuquerque,NM,27200,Grounded,2025-11-10,,Grounded at Dealer_C
VIN_XXXXXXXXXX072,2024,HYUNDAI,IONIQ 5 SEL,D015,Boston,MA,26450,Grounded,2025-11-24,,Grounded at Dealer_O
VIN_XXXXXXXXXX073,2024,HYUNDAI,IONIQ 5 SEL,D035,Denver,CO,23800,Grounded,2025-10-06,,Grounded at Dealer_II
VIN_XXXXXXXXXX074,2022,HYUNDAI,IONIQ 5 SE,D035,Denver,CO,16350,Grounded,2025-12-22,,Grounded at Dealer_II
VIN_XXXXXXXXXX075,2024,HYUNDAI,IONIQ 5 SEL,D015,Boston,MA,23900,Grounded,2025-11-24,,Grounded at Dealer_O
VIN_XXXXXXXXXX076,2023,HYUNDAI,IONIQ 5 Limited,D038,Miami,FL,25300,Grounded,2025-12-15,,Grounded at Dealer_LL
VIN_XXXXXXXXXX077,2022,HYUNDAI,IONIQ 5 SE,D012,Baton Rouge,LA,16250,Grounded,2026-02-02,,Grounded at Dealer_L
VIN_XXXXXXXXXX078,2023,HYUNDAI,IONIQ 5 Limited,D045,Tampa,FL,20650,Grounded,2025-12-15,,Grounded at Dealer_SS
VIN_XXXXXXXXXX079,2022,HYUNDAI,IONIQ 5 SE,D015,Boston,MA,18950,Grounded,2025-10-20,,Grounded at Dealer_O
VIN_XXXXXXXXXX080,2022,HYUNDAI,IONIQ 5 SE,D007,Phoenix,AZ,15100,Grounded,2026-01-26,,Grounded at Dealer_G
VIN_XXXXXXXXXX081,2024,HYUNDAI,IONIQ 5 SEL,D017,Juneau,AK,24100,Grounded,2025-11-24,,Grounded at Dealer_Q
VIN_XXXXXXXXXX082,2022,HYUNDAI,IONIQ 5 Limited,D034,Houston,TX,18950,Grounded,2026-01-12,,Grounded at Dealer_HH
VIN_XXXXXXXXXX083,2022,HYUNDAI,IONIQ 5 SE,D026,Cheyenne,WY,17050,Grounded,2026-01-26,,Grounded at Dealer_Z
VIN_XXXXXXXXXX084,2024,HYUNDAI,IONIQ 5 SEL,D050,Salem,OR,25700,Grounded,2025-10-27,,Grounded at Dealer_XX
VIN_XXXXXXXXXX085,2022,HYUNDAI,IONIQ 5 SE,D026,Cheyenne,WY,16700,Grounded,2025-10-20,,Grounded at Dealer_Z
VIN_XXXXXXXXXX086,2022,HYUNDAI,IONIQ 5 SE,D002,Sacramento,CA,19050,Grounded,2026-02-02,,Grounded at Dealer_B
VIN_XXXXXXXXXX087,2022,HYUNDAI,IONIQ 5 SE,D024,Helena,MT,15350,Grounded,2025-12-15,,Grounded at Dealer_X
VIN_XXXXXXXXXX088,2024,HYUNDAI,IONIQ 5 SEL,D036,San Diego,CA,26050,Grounded,2025-11-10,,Grounded at Dealer_JJ
VIN_XXXXXXXXXX089,2024,HYUNDAI,IONIQ 5 SEL,D030,San Antonio,TX,20550,Grounded,2025-10-06,,Grounded at Dealer_DD
VIN_XXXXXXXXXX090,2023,HYUNDAI,IONIQ 5 Limited,D022,Minneapolis,MN,22550,Grounded,2025-11-17,,Grounded at Dealer_V
VIN_XXXXXXXXXX091,2023,HYUNDAI,IONIQ 5 Limited,D040,Little Rock,AR,24450,Grounded,2026-02-02,,Grounded at Dealer_NN
VIN_XXXXXXXXXX092,2023,HYUNDAI,IONIQ 5 Limited,D044,Hartford,CT,21350,Grounded,2026-01-19,,Grounded at Dealer_RR
VIN_XXXXXXXXXX093,2024,HYUNDAI,IONIQ 5 SEL,D008,Topeka,KS,28100,Grounded,2025-11-03,,Grounded at Dealer_H
VIN_XXXXXXXXXX094,2022,HYUNDAI,IONIQ 5 SE,D004,Charlotte,NC,18400,Grounded,2025-12-22,,Grounded at Dealer_D
VIN_XXXXXXXXXX095,2022,HYUNDAI,IONIQ 5 SE,D031,Salt Lake City,UT,16500,Grounded,2025-10-20,,Grounded at Dealer_EE
VIN_XXXXXXXXXX096,2024,HYUNDAI,IONIQ 5 SEL,D039,Buffalo,NY,21650,Grounded,2025-11-17,,Grounded at Dealer_MM
VIN_XXXXXXXXXX097,2022,HYUNDAI,IONIQ 5 SE,D035,Denver,CO,14250,Grounded,2025-12-22,,Grounded at Dealer_II
VIN_XXXXXXXXXX098,2022,HYUNDAI,IONIQ 5 SE,D050,Salem,OR,17500,Grounded,2025-12-01,,Grounded at Dealer_XX
VIN_XXXXXXXXXX099,2024,HYUNDAI,IONIQ 5 SEL,D026,Cheyenne,WY,21650,Grounded,2025-10-27,,Grounded at Dealer_Z
VIN_XXXXXXXXXX100,2023,HYUNDAI,IONIQ 5 Limited,D014,Las Vegas,NV,24050,Grounded,2025-12-22,,Grounded at Dealer_N
VIN_XXXXXXXXXX101,2024,HYUNDAI,IONIQ 5 SEL,D008,Topeka,KS,24650,Grounded,2025-10-20,,Grounded at Dealer_H
VIN_XXXXXXXXXX102,2023,HYUNDAI,IONIQ 5 Limited,D003,Albuquerque,NM,16050,Grounded,2025-11-24,,Grounded at Dealer_C
VIN_XXXXXXXXXX103,2022,HYUNDAI,IONIQ 5 SE,D020,Louisville,KY,15000,Grounded,2025-10-27,,Grounded at Dealer_T
VIN_XXXXXXXXXX104,2024,HYUNDAI,IONIQ 5 SEL,D029,Jackson,MS,21100,Grounded,2025-12-08,,Grounded at Dealer_CC
VIN_XXXXXXXXXX105,2022,HYUNDAI,IONIQ 5 SE,D013,Dallas,TX,15900,Grounded,2026-01-19,,Grounded at Dealer_M
VIN_XXXXXXXXXX106,2024,HYUNDAI,IONIQ 5 SEL,D027,Nashville,TN,24000,Grounded,2025-10-06,,Grounded at Dealer_AA
VIN_XXXXXXXXXX107,2024,HYUNDAI,IONIQ 5 SEL,D025,Indianapolis,IN,28350,Grounded,2025-11-03,,Grounded at Dealer_Y
VIN_XXXXXXXXXX108,2023,HYUNDAI,IONIQ 5 Limited,D045,Tampa,FL,18350,Grounded,2026-01-19,,Grounded at Dealer_SS
VIN_XXXXXXXXXX109,2023,HYUNDAI,IONIQ 5 Limited,D005,Seattle,WA,23200,Grounded,2026-02-02,,Grounded at Dealer_E
VIN_XXXXXXXXXX110,2022,HYUNDAI,IONIQ 5 SE,D042,Milwaukee,WI,16300,Grounded,2025-12-15,,Grounded at Dealer_PP
VIN_XXXXXXXXXX111,2024,HYUNDAI,IONIQ 5 SEL,D030,San Antonio,TX,25750,Grounded,2025-12-08,,Grounded at Dealer_DD
VIN_XXXXXXXXXX112,2024,HYUNDAI,IONIQ 5 SEL,D012,Baton Rouge,LA,26450,Grounded,2025-10-20,,Grounded at Dealer_L
VIN_XXXXXXXXXX113,2023,HYUNDAI,IONIQ 5 Limited,D017,Juneau,AK,22300,Grounded,2025-11-17,,Grounded at Dealer_Q
VIN_XXXXXXXXXX114,2024,HYUNDAI,IONIQ 5 SEL,D041,Oklahoma City,OK,20300,Grounded,2025-11-24,,Grounded at Dealer_OO
VIN_XXXXXXXXXX115,2023,HYUNDAI,IONIQ 5 Limited,D020,Louisville,KY,22350,Grounded,2026-01-26,,Grounded at Dealer_T
VIN_XXXXXXXXXX116,2024,HYUNDAI,IONIQ 5 SEL,D045,Tampa,FL,26550,Grounded,2025-12-22,,Grounded at Dealer_SS
VIN_XXXXXXXXXX117,2022,HYUNDAI,IONIQ 5 SE,D043,Bismarck,ND,20350,Grounded,2025-12-15,,Grounded at Dealer_QQ
VIN_XXXXXXXXXX118,2022,HYUNDAI,IONIQ 5 SE,D020,Louisville,KY,17100,Grounded,2026-01-26,,Grounded at Dealer_T
VIN_XXXXXXXXXX119,2022,HYUNDAI,IONIQ 5 SE,D041,Oklahoma City,OK,15400,Grounded,2026-02-02,,Grounded at Dealer_OO
VIN_XXXXXXXXXX120,2022,HYUNDAI,IONIQ 5 SE,D008,Topeka,KS,18450,Grounded,2026-01-12,,Grounded at Dealer_H
VIN_XXXXXXXXXX121,2022,HYUNDAI,IONIQ 5 SE,D034,Houston,TX,15800,Grounded,2025-12-15,,Grounded at Dealer_HH
VIN_XXXXXXXXXX122,2024,HYUNDAI,IONIQ 5 SEL,D032,Birmingham,AL,22100,Grounded,2025-10-20,,Grounded at Dealer_FF
VIN_XXXXXXXXXX123,2024,HYUNDAI,IONIQ 5 SEL,D041,Oklahoma City,OK,25150,Grounded,2025-11-24,,Grounded at Dealer_OO
VIN_XXXXXXXXXX124,2023,HYUNDAI,IONIQ 5 Limited,D048,Lincoln,NE,24900,Grounded,2026-01-12,,Grounded at Dealer_VV
VIN_XXXXXXXXXX125,2023,HYUNDAI,IONIQ 5 Limited,D025,Indianapolis,IN,24000,Grounded,2026-01-26,,Grounded at Dealer_Y
VIN_XXXXXXXXXX126,2022,HYUNDAI,IONIQ 5 SE,D030,San Antonio,TX,16250,Grounded,2025-11-17,,Grounded at Dealer_DD
VIN_XXXXXXXXXX127,2024,HYUNDAI,IONIQ 5 SEL,D048,Lincoln,NE,21400,Grounded,2025-10-20,,Grounded at Dealer_VV
VIN_XXXXXXXXXX128,2023,HYUNDAI,IONIQ 5 Limited,D025,Indianapolis,IN,21950,Grounded,2025-11-03,,Grounded at Dealer_Y
VIN_XXXXXXXXXX129,2023,HYUNDAI,IONIQ 5 Limited,D018,Wilmington,DE,21200,Grounded,2025-11-10,,Grounded at Dealer_R
VIN_XXXXXXXXXX130,2022,HYUNDAI,IONIQ 5 SE,D005,Seattle,WA,18250,Grounded,2025-10-27,,Grounded at Dealer_E
VIN_XXXXXXXXXX131,2022,HYUNDAI,IONIQ 5 SE,D046,Providence,RI,16100,Grounded,2025-12-22,,Grounded at Dealer_TT
VIN_XXXXXXXXXX132,2023,HYUNDAI,IONIQ 5 Limited,D025,Indianapolis,IN,22650,Grounded,2026-01-19,,Grounded at Dealer_Y
VIN_XXXXXXXXXX133,2023,HYUNDAI,IONIQ 5 Limited,D006,Olympia,WA,20350,Grounded,2025-11-03,,Grounded at Dealer_F
VIN_XXXXXXXXXX134,2022,HYUNDAI,IONIQ 5 SE,D012,Baton Rouge,LA,15850,Grounded,2025-10-06,,Grounded at Dealer_L
VIN_XXXXXXXXXX135,2024,HYUNDAI,IONIQ 5 SEL,D009,Charleston,SC,20650,Grounded,2025-11-03,,Grounded at Dealer_I
VIN_XXXXXXXXXX136,2024,HYUNDAI,IONIQ 5 SEL,D039,Buffalo,NY,23250,Grounded,2025-12-08,,Grounded at Dealer_MM
VIN_XXXXXXXXXX137,2023,HYUNDAI,IONIQ 5 Limited,D027,Nashville,TN,21050,Grounded,2025-12-22,,Grounded at Dealer_AA
VIN_XXXXXXXXXX138,2024,HYUNDAI,IONIQ 5 SEL,D048,Lincoln,NE,25950,Grounded,2025-11-24,,Grounded at Dealer_VV
VIN_XXXXXXXXXX139,2023,HYUNDAI,IONIQ 5 Limited,D003,Albuquerque,NM,20650,Grounded,2026-01-05,,Grounded at Dealer_C
VIN_XXXXXXXXXX140,2024,HYUNDAI,IONIQ 5 SEL,D042,Milwaukee,WI,24250,Grounded,2025-12-29,,Grounded at Dealer_PP
VIN_XXXXXXXXXX141,2023,HYUNDAI,IONIQ 5 Limited,D042,Milwaukee,WI,24450,Grounded,2025-10-06,,Grounded at Dealer_PP
VIN_XXXXXXXXXX142,2024,HYUNDAI,IONIQ 5 SEL,D020,Louisville,KY,23800,Grounded,2025-12-22,,Grounded at Dealer_T
VIN_XXXXXXXXXX143,2022,HYUNDAI,IONIQ 5 SE,D040,Little Rock,AR,20600,Grounded,2025-10-27,,Grounded at Dealer_NN
VIN_XXXXXXXXXX144,2023,HYUNDAI,IONIQ 5 Limited,D011,Des Moines,IA,20750,Grounded,2025-11-24,,Grounded at Dealer_K
VIN_XXXXXXXXXX145,2024,HYUNDAI,IONIQ 5 SEL,D044,Hartford,CT,26550,Grounded,2025-12-22,,Grounded at Dealer_RR
VIN_XXXXXXXXXX146,2023,HYUNDAI,IONIQ 5 Limited,D039,Buffalo,NY,19950,Grounded,2026-01-19,,Grounded at Dealer_MM
VIN_XXXXXXXXXX147,2023,HYUNDAI,IONIQ 5 Limited,D049,Carson City,NV,18700,Grounded,2026-01-19,,Grounded at Dealer_WW
VIN_XXXXXXXXXX148,2023,HYUNDAI,IONIQ 5 Limited,D014,Las Vegas,NV,21750,Grounded,2025-10-06,,Grounded at Dealer_N
VIN_XXXXXXXXXX149,2024,HYUNDAI,IONIQ 5 SEL,D049,Carson City,NV,23000,Grounded,2025-10-27,,Grounded at Dealer_WW
VIN_XXXXXXXXXX150,2023,HYUNDAI,IONIQ 5 Limited,D017,Juneau,AK,22150,Grounded,2026-01-12,,Grounded at Dealer_Q
VIN_XXXXXXXXXX151,2022,HYUNDAI,IONIQ 5 SE,D025,Indianapolis,IN,15850,Grounded,2026-02-02,,Grounded at Dealer_Y
VIN_XXXXXXXXXX152,2024,HYUNDAI,IONIQ 5 SEL,D017,Juneau,AK,21200,Grounded,2025-12-15,,Grounded at Dealer_Q
VIN_XXXXXXXXXX153,2024,HYUNDAI,IONIQ 5 SEL,D024,Helena,MT,27450,Grounded,2025-10-13,,Grounded at Dealer_X
VIN_XXXXXXXXXX154,2022,HYUNDAI,IONIQ 5 SE,D028,Kansas City,MO,15750,Grounded,2026-01-26,,Grounded at Dealer_BB
VIN_XXXXXXXXXX155,2022,HYUNDAI,IONIQ 5 SE,D023,Atlanta,GA,16950,Grounded,2025-12-08,,Grounded at Dealer_W
VIN_XXXXXXXXXX156,2024,HYUNDAI,IONIQ 5 SEL,D045,Tampa,FL,26350,Grounded,2025-11-17,,Grounded at Dealer_SS
VIN_XXXXXXXXXX157,2022,HYUNDAI,IONIQ 5 SE,D033,Los Angeles,CA,15600,Grounded,2025-10-27,,Grounded at Dealer_GG
VIN_XXXXXXXXXX158,2023,HYUNDAI,IONIQ 5 Limited,D034,Houston,TX,25300,Grounded,2026-01-26,,Grounded at Dealer_HH
VIN_XXXXXXXXXX159,2022,HYUNDAI,IONIQ 5 SE,D021,Pierre,SD,18700,Grounded,2025-10-27,,Grounded at Dealer_U
VIN_XXXXXXXXXX160,2022,HYUNDAI,IONIQ 5 SE,D035,Denver,CO,18700,Grounded,2025-10-06,,Grounded at Dealer_II
VIN_XXXXXXXXXX161,2023,HYUNDAI,IONIQ 5 Limited,D026,Cheyenne,WY,22650,Grounded,2026-01-26,,Grounded at Dealer_Z
VIN_XXXXXXXXXX162,2024,HYUNDAI,IONIQ 5 SEL,D020,Louisville,KY,24850,Grounded,2025-12-08,,Grounded at Dealer_T
VIN_XXXXXXXXXX163,2022,HYUNDAI,IONIQ 5 SE,D035,Denver,CO,17050,Grounded,2026-01-05,,Grounded at Dealer_II
VIN_XXXXXXXXXX164,2024,HYUNDAI,IONIQ 5 SEL,D019,Detroit,MI,26650,Grounded,2025-11-17,,Grounded at Dealer_S
VIN_XXXXXXXXXX165,2023,HYUNDAI,IONIQ 5 Limited,D010,Philadelphia,PA,21500,Grounded,2025-11-24,,Grounded at Dealer_J
VIN_XXXXXXXXXX166,2023,HYUNDAI,IONIQ 5 Limited,D036,San Diego,CA,26500,Grounded,2026-01-12,,Grounded at Dealer_JJ
VIN_XXXXXXXXXX167,2024,HYUNDAI,IONIQ 5 SEL,D043,Bismarck,ND,23200,Grounded,2025-11-17,,Grounded at Dealer_QQ
VIN_XXXXXXXXXX168,2022,HYUNDAI,IONIQ 5 SE,D009,Charleston,SC,14800,Grounded,2025-10-27,,Grounded at Dealer_I
VIN_XXXXXXXXXX169,2023,HYUNDAI,IONIQ 5 Limited,D030,San Antonio,TX,17500,Grounded,2025-11-03,,Grounded at Dealer_DD
VIN_XXXXXXXXXX170,2023,HYUNDAI,IONIQ 5 Limited,D018,Wilmington,DE,20350,Grounded,2026-01-12,,Grounded at Dealer_R
VIN_XXXXXXXXXX171,2023,HYUNDAI,IONIQ 5 Limited,D035,Denver,CO,20550,Grounded,2026-01-26,,Grounded at Dealer_II
VIN_XXXXXXXXXX172,2022,HYUNDAI,IONIQ 5 SE,D036,San Diego,CA,14950,Grounded,2025-12-22,,Grounded at Dealer_JJ
VIN_XXXXXXXXXX173,2022,HYUNDAI,IONIQ 5 SE,D034,Houston,TX,15500,Grounded,2026-01-26,,Grounded at Dealer_HH
VIN_XXXXXXXXXX174,2024,HYUNDAI,IONIQ 5 SEL,D044,Hartford,CT,23500,Grounded,2025-11-24,,Grounded at Dealer_RR
VIN_XXXXXXXXXX175,2023,HYUNDAI,IONIQ 5 Limited,D014,Las Vegas,NV,22100,Grounded,2025-11-17,,Grounded at Dealer_N
