VIN,YEAR,MAKE_NAME,MODEL_NAME,SERIES_NAME,ODOMETER,GRADE,MATURITY_DATE,RESIDUAL,GROUNDING_DATE,DEALER_NAME,DEALER_CODE,LOCATION,STATE,ZIPCODE,TERM_TYPE,TERM,CURRENT_ITERATION,BLACKBOOK_RETAIL_CLEAN_AMOUNT,BATCH_ID
VIN_XXXXXXXXXX087,2022,HYUNDAI,IONIQ 5,SE,38757,B,11/8/2025,15350,12/15/2025,Dealer_X,D024,"Helena, MT",MT,59601,FT,13,4,26500,BATCH_002
VIN_XXXXXXXXXX088,2024,HYUNDAI,IONIQ 5,SEL,6773,A,1/28/2026,26050,11/15/2025,Dealer_JJ,D036,"San Diego, CA",CA,92101,ET,13,1,41500,BATCH_003
VIN_XXXXXXXXXX089,2024,HYUNDAI,IONIQ 5,SEL,13042,A,12/20/2025,20550,10/12/2025,Dealer_DD,D030,"San Antonio, TX",TX,78201,FT,13,1,32550,BATCH_003
VIN_XXXXXXXXXX090,2023,HYUNDAI,IONIQ 5,Limited,21432,B,2/2/2026,22550,11/22/2025,Dealer_V,D022,"Minneapolis, MN",MN,55401,ET,13,2,36600,BATCH_001
VIN_XXXXXXXXXX091,2023,HYUNDAI,IONIQ 5,Limited,14806,A,10/12/2025,24450,2/2/2026,Dealer_NN,D040,"Little Rock, AR",AR,72201,FT,13,2,38400,BATCH_002
VIN_XXXXXXXXXX092,2023,HYUNDAI,IONIQ 5,Limited,22962,A,11/28/2025,21350,1/25/2026,Dealer_RR,D044,"Hartford, CT",CT,6103,ET,13,2,33600,BATCH_001
VIN_XXXXXXXXXX093,2024,HYUNDAI,IONIQ 5,SEL,8855,A,12/10/2025,28100,11/8/2025,Dealer_H,D008,"Topeka, KS",KS,66603,FT,13,1,44500,BATCH_003
VIN_XXXXXXXXXX094,2022,HYUNDAI,IONIQ 5,SE,31845,B,11/10/2025,18400,12/28/2025,Dealer_D,D004,"Charlotte, NC",NC,28201,FT,13,4,30900,BATCH_002
VIN_XXXXXXXXXX095,2022,HYUNDAI,IONIQ 5,SE,30540,B,12/12/2025,16500,10/20/2025,Dealer_EE,D031,"Salt Lake City, UT",UT,84101,FT,13,4,27500,BATCH_002
VIN_XXXXXXXXXX096,2024,HYUNDAI,IONIQ 5,SEL,8689,A,10/30/2025,21650,11/18/2025,Dealer_MM,D039,"Buffalo, NY",NY,14201,FT,13,1,34300,BATCH_003
VIN_XXXXXXXXXX097,2022,HYUNDAI,IONIQ 5,SE,37856,C,11/12/2025,14250,12/25/2025,Dealer_II,D035,"Denver, CO",CO,80202,FT,13,3,25750,BATCH_002
VIN_XXXXXXXXXX098,2022,HYUNDAI,IONIQ 5,SE,37415,C,10/8/2025,17500,12/3/2025,Dealer_XX,D050,"Salem, OR",OR,97301,FT,13,3,31850,BATCH_001
VIN_XXXXXXXXXX099,2024,HYUNDAI,IONIQ 5,SEL,11610,A,12/30/2025,21650,10/28/2025,Dealer_Z,D026,"Cheyenne, WY",WY,82001,ET,13,1,34300,BATCH_003
VIN_XXXXXXXXXX100,2023,HYUNDAI,IONIQ 5,Limited,17977,A,1/18/2026,24050,12/28/2025,Dealer_N,D014,"Las Vegas, NV",NV,89101,FT,13,2,37900,BATCH_003
VIN_XXXXXXXXXX101,2024,HYUNDAI,IONIQ 5,SEL,8392,A,12/18/2025,24650,10/22/2025,Dealer_H,D008,"Topeka, KS",KS,66603,FT,13,1,38900,BATCH_003
VIN_XXXXXXXXXX102,2023,HYUNDAI,IONIQ 5,Limited,31875,B,1/12/2026,16050,11/28/2025,Dealer_C,D003,"Albuquerque, NM",NM,87101,ET,13,2,25600,BATCH_001
VIN_XXXXXXXXXX103,2022,HYUNDAI,IONIQ 5,SE,32820,B,12/15/2025,15000,10/28/2025,Dealer_T,D020,"Louisville, KY",KY,40201,ET,13,4,25400,BATCH_002
VIN_XXXXXXXXXX104,2024,HYUNDAI,IONIQ 5,SEL,8588,A,10/30/2025,21100,12/8/2025,Dealer_CC,D029,"Jackson, MS",MS,39201,FT,13,1,33700,BATCH_003
VIN_XXXXXXXXXX105,2022,HYUNDAI,IONIQ 5,SE,34777,C,10/25/2025,15900,1/25/2026,Dealer_M,D013,"Dallas, TX",TX,75201,FT,13,3,29200,BATCH_002
VIN_XXXXXXXXXX106,2024,HYUNDAI,IONIQ 5,SEL,10543,A,12/12/2025,24000,10/8/2025,Dealer_AA,D027,"Nashville, TN",TN,37201,FT,13,1,37600,BATCH_001
VIN_XXXXXXXXXX107,2024,HYUNDAI,IONIQ 5,SEL,6780,A,10/20/2025,28350,11/8/2025,Dealer_Y,D025,"Indianapolis, IN",IN,46201,FT,13,1,45350,BATCH_003
VIN_XXXXXXXXXX108,2023,HYUNDAI,IONIQ 5,Limited,23819,A,11/10/2025,18350,1/20/2026,Dealer_SS,D045,"Tampa, FL",FL,33601,FT,13,2,29150,BATCH_001
VIN_XXXXXXXXXX109,2023,HYUNDAI,IONIQ 5,Limited,14911,A,12/25/2025,23200,2/2/2026,Dealer_E,D005,"Seattle, WA",WA,98101,ET,13,2,36150,BATCH_002
VIN_XXXXXXXXXX110,2022,HYUNDAI,IONIQ 5,SE,32288,C,11/28/2025,16300,12/20/2025,Dealer_PP,D042,"Milwaukee, WI",WI,53201,FT,13,3,29450,BATCH_002
VIN_XXXXXXXXXX111,2024,HYUNDAI,IONIQ 5,SEL,7737,A,1/22/2026,25750,12/8/2025,Dealer_DD,D030,"San Antonio, TX",TX,78201,FT,13,1,40950,BATCH_003
VIN_XXXXXXXXXX112,2024,HYUNDAI,IONIQ 5,SEL,6391,A,12/25/2025,26450,10/20/2025,Dealer_L,D012,"Baton Rouge, LA",LA,70801,FT,13,1,42350,BATCH_003
VIN_XXXXXXXXXX113,2023,HYUNDAI,IONIQ 5,Limited,26669,B,1/15/2026,22300,11/18/2025,Dealer_Q,D017,"Juneau, AK",AK,99801,ET,13,2,35500,BATCH_001
VIN_XXXXXXXXXX114,2024,HYUNDAI,IONIQ 5,SEL,12985,A,10/18/2025,20300,11/25/2025,Dealer_OO,D041,"Oklahoma City, OK",OK,73101,FT,13,1,31950,BATCH_003
VIN_XXXXXXXXXX115,2023,HYUNDAI,IONIQ 5,Limited,24892,A,11/25/2025,22350,1/30/2026,Dealer_T,D020,"Louisville, KY",KY,40201,ET,13,2,35450,BATCH_001
VIN_XXXXXXXXXX116,2024,HYUNDAI,IONIQ 5,SEL,8303,A,1/20/2026,26550,12/25/2025,Dealer_SS,D045,"Tampa, FL",FL,33601,FT,13,1,41900,BATCH_003
VIN_XXXXXXXXXX117,2022,HYUNDAI,IONIQ 5,SE,33527,B,10/28/2025,20350,12/18/2025,Dealer_QQ,D043,"Bismarck, ND",ND,58501,ET,13,4,34300,BATCH_002
VIN_XXXXXXXXXX118,2022,HYUNDAI,IONIQ 5,SE,36876,C,11/15/2025,17100,2/1/2026,Dealer_T,D020,"Louisville, KY",KY,40201,ET,13,3,31050,BATCH_002
VIN_XXXXXXXXXX119,2022,HYUNDAI,IONIQ 5,SE,47614,C,11/15/2025,15400,2/2/2026,Dealer_OO,D041,"Oklahoma City, OK",OK,73101,FT,13,3,27800,BATCH_002
VIN_XXXXXXXXXX120,2022,HYUNDAI,IONIQ 5,SE,34477,B,11/8/2025,18450,1/15/2026,Dealer_H,D008,"Topeka, KS",KS,66603,FT,13,4,30650,BATCH_002
VIN_XXXXXXXXXX121,2022,HYUNDAI,IONIQ 5,SE,36685,B,1/18/2026,15800,12/18/2025,Dealer_HH,D034,"Houston, TX",TX,77001,ET,13,4,26750,BATCH_002
VIN_XXXXXXXXXX122,2024,HYUNDAI,IONIQ 5,SEL,10836,A,12/8/2025,22100,10/20/2025,Dealer_FF,D032,"Birmingham, AL",AL,35203,ET,13,1,34700,BATCH_003
VIN_XXXXXXXXXX123,2024,HYUNDAI,IONIQ 5,SEL,11477,A,12/30/2025,25150,11/28/2025,Dealer_OO,D041,"Oklahoma City, OK",OK,73101,FT,13,1,39400,BATCH_003
VIN_XXXXXXXXXX124,2023,HYUNDAI,IONIQ 5,Limited,18190,A,11/25/2025,24900,1/18/2026,Dealer_VV,D048,"Lincoln, NE",NE,68508,ET,13,2,38850,BATCH_001
VIN_XXXXXXXXXX125,2023,HYUNDAI,IONIQ 5,Limited,18408,A,11/5/2025,24000,1/28/2026,Dealer_Y,D025,"Indianapolis, IN",IN,46201,FT,13,2,37450,BATCH_001
VIN_XXXXXXXXXX126,2022,HYUNDAI,IONIQ 5,SE,35429,B,10/20/2025,16250,11/22/2025,Dealer_DD,D030,"San Antonio, TX",TX,78201,FT,13,4,27500,BATCH_002
VIN_XXXXXXXXXX127,2024,HYUNDAI,IONIQ 5,SEL,12415,A,12/15/2025,21400,10/20/2025,Dealer_VV,D048,"Lincoln, NE",NE,68508,ET,13,1,33600,BATCH_003
VIN_XXXXXXXXXX128,2023,HYUNDAI,IONIQ 5,Limited,24706,B,2/2/2026,21950,11/3/2025,Dealer_Y,D025,"Indianapolis, IN",IN,46201,FT,13,2,34450,BATCH_003
VIN_XXXXXXXXXX129,2023,HYUNDAI,IONIQ 5,Limited,19814,A,11/22/2025,21200,11/10/2025,Dealer_R,D018,"Wilmington, DE",DE,19801,ET,13,2,33300,BATCH_002
VIN_XXXXXXXXXX130,2022,HYUNDAI,IONIQ 5,SE,35944,B,12/22/2025,18250,10/28/2025,Dealer_E,D005,"Seattle, WA",WA,98101,FT,13,4,30900,BATCH_002
VIN_XXXXXXXXXX131,2022,HYUNDAI,IONIQ 5,SE,31362,C,10/15/2025,16100,12/22/2025,Dealer_TT,D046,"Providence, RI",RI,2901,ET,13,3,28350,BATCH_002
