GROUNDING_DEALER_CODE,FAAS_DEALER_CODE,DISTANCE_MILES
D005,FD04,1223.8
D005,FD05,1995.8
D005,FD06,1990.6
D005,FD07,2353.0
D005,FD08,2955.5
D005,FD09,1314.8
D005,FD10,1654.9
D005,FD11,2410.0
D005,FD12,489.3
D005,FD13,1597.1
D005,FD14,1655.0
D005,FD15,2277.1
D005,FD16,0.4
D005,FD17,2641.5
D005,FD18,1859.6
D005,FD19,1106.0
D005,FD20,3016.4
D005,FD21,2658.8
D005,FD22,2694.4
D005,FD23,826.6
D005,FD24,2525.9
D005,FD25,2819.0
D005,FD26,179.4
D005,FD27,3125.0
D005,FD28,3328.1
D005,FD29,2839.8
D005,FD30,2876.1
D006,FD01,1803.5
D006,FD02,3014.8
D006,FD03,3037.8
D006,FD04,1270.3
D006,FD05,2037.8
D006,FD06,2036.9
D006,FD07,2421.5
D006,FD08,2997.4
D006,FD09,1360.8
D006,FD10,1696.6
D006,FD11,2456.2
D006,FD12,534.5
D006,FD13,1565.8
D006,FD14,1697.0
D006,FD15,2323.4
D006,FD16,64.9
D006,FD17,2687.8
D006,FD18,1905.8
D006,FD19,1151.8
D006,FD20,3062.5
D006,FD21,2705.0
D006,FD22,2740.7
D006,FD23,872.5
D006,FD24,2572.1
D006,FD25,2865.3
D006,FD26,121.7
D006,FD27,3171.1
D006,FD28,3374.3
D006,FD29,2881.7
D006,FD30,2918.0
D007,FD01,1444.3
D007,FD02,2150.0
D007,FD03,2616.3
D007,FD04,1034.3
D007,FD05,1888.2
D007,FD06,1008.5
D007,FD07,1771.5
D007,FD08,2590.5
D007,FD09,906.0
D007,FD10,1682.5
D007,FD11,1678.4
D007,FD12,1008.5
D007,FD13,112.2
D007,FD14,1333.9
D007,FD15,1347.1
D007,FD16,1489.8
D007,FD17,1709.1
D007,FD18,1251.7
D007,FD19,305.3
D007,FD20,2044.0
D007,FD21,1840.6
D007,FD22,1525.0
D007,FD23,659.0
D007,FD24,1463.4
D007,FD25,2091.2
D007,FD26,1332.0
D007,FD27,2152.7
D007,FD28,2357.8
D007,FD29,2293.5
D007,FD30,2532.2
D008,FD01,250.8
D008,FD02,1170.0
D008,FD03,1477.6
D008,FD04,633.6
D008,FD05,629.8
D008,FD06,295.5
D008,FD07,576.0
D008,FD08,1386.3
D008,FD09,542.9
D008,FD10,492.4
D008,FD11,611.6
D008,FD12,1370.4
D008,FD13,1182.4
D008,FD14,164.5
D008,FD15,480.7
D008,FD16,1847.6
D008,FD17,744.6
D008,FD18,62.5
D008,FD19,1288.2
D008,FD20,1217.2
D008,FD21,859.5
D008,FD22,922.7
D008,FD23,1066.3
D008,FD24,732.7
D008,FD25,1021.3
D008,FD26,1782.3
D008,FD27,1326.5
D008,FD28,1529.2
D008,FD29,1134.2
D008,FD30,1328.2
D009,FD01,1198.4
D009,FD02,0.7
D009,FD03,1068.3
D009,FD04,1745.1
D009,FD05,1004.3
D009,FD06,1144.5
D009,FD07,611.4
D009,FD08,888.9
D009,FD09,1710.4
D009,FD10,1322.8
D009,FD11,556.5
D009,FD12,2490.1
D009,FD13,2030.3
D009,FD14,1293.7
D009,FD15,816.0
D009,FD16,2967.3
D009,FD17,444.1
D009,FD18,1103.9
D009,FD19,2266.4
D009,FD20,243.8
D009,FD21,305.1
D009,FD22,759.8
D009,FD23,2185.9
D009,FD24,685.3
D009,FD25,215.4
D009,FD26,2902.3
D009,FD27,440.7
D009,FD28,584.4
D009,FD29,425.0
D009,FD30,909.4
D010,FD01,1081.0
D010,FD02,681.8
D010,FD03,392.6
D010,FD04,1705.2
D010,FD05,851.8
D010,FD06,1394.1
D010,FD07,670.4
D010,FD08,212.9
D010,FD09,1754.5
D010,FD10,1173.2
D010,FD11,825.8
D010,FD12,2451.9
D010,FD13,2436.9
D010,FD14,1215.0
D010,FD15,1169.2
D010,FD16,2827.1
D010,FD17,899.9
D010,FD18,1139.0
D010,FD19,2497.5
D010,FD20,866.0
D010,FD21,800.4
D010,FD22,1242.2
D010,FD23,2149.0
D010,FD24,1141.9
D010,FD25,551.5
D010,FD26,2864.5
D010,FD27,1062.8
D010,FD28,1207.3
D010,FD29,257.0
D010,FD30,233.8
D011,FD01,0.3
D011,FD02,1205.0
D011,FD03,1250.7
D011,FD04,624.2
D011,FD05,375.6
D011,FD06,548.7
D011,FD07,595.1
D011,FD08,1211.2
D011,FD09,673.5
D011,FD10,238.2
D011,FD11,648.3
D011,FD12,1371.2
D011,FD13,1428.3
D011,FD14,133.5
D011,FD15,613.0
D011,FD16,1758.5
D011,FD17,847.4
D011,FD18,196.7
D011,FD19,1416.1
D011,FD20,1256.2
D011,FD21,898.7
D011,FD22,1012.3
D011,FD23,1067.8
D011,FD24,823.0
D011,FD25,1055.9
D011,FD26,1783.6
D011,FD27,1365.4
D011,FD28,1567.6
D011,FD29,1109.9
D011,FD30,1132.3
D012,FD01,948.7
D012,FD02,826.2
D012,FD03,1649.2
D012,FD04,1400.2
D012,FD05,1000.0
D012,FD06,622.8
D012,FD07,770.3
D012,FD08,1505.8
D012,FD09,1220.6
D012,FD10,1193.3
D012,FD11,591.9
D012,FD12,2134.0
D012,FD13,1323.7
D012,FD14,959.6
D012,FD15,346.2
D012,FD16,2611.6
D012,FD17,403.0
D012,FD18,761.6
D012,FD19,1648.1
D012,FD20,603.7
D012,FD21,521.0
D012,FD22,85.3
D012,FD23,1828.5
D012,FD24,172.8
D012,FD25,776.0
D012,FD26,2546.1
D012,FD27,713.6
D012,FD28,918.7
D012,FD29,1060.0
D012,FD30,1489.3
D013,FD01,740.1
D013,FD02,1086.6
D013,FD03,1749.0
D013,FD04,977.9
D013,FD05,1055.0
D013,FD06,200.6
D013,FD07,845.7
D013,FD08,1691.9
D013,FD09,796.8
D013,FD10,982.8
D013,FD11,662.8
D013,FD12,1710.6
D013,FD13,953.4
D013,FD14,659.9
D013,FD15,325.1
D013,FD16,2188.3
D013,FD17,640.5
D013,FD18,549.5
D013,FD19,1224.7
D013,FD20,993.5
D013,FD21,777.2
D013,FD22,510.9
D013,FD23,1404.8
D013,FD24,400.2
D013,FD25,1029.0
D013,FD26,2122.8
D013,FD27,1102.8
D013,FD28,1307.5
D013,FD29,1276.2
D013,FD30,1665.1
D014,FD01,1414.3
D014,FD02,2264.9
D014,FD03,2664.9
D014,FD04,846.0
D014,FD05,1790.6
D014,FD06,1118.7
D014,FD07,1862.0
D014,FD08,2625.7
D014,FD09,744.4
D014,FD10,1652.4
D014,FD11,1787.1
D014,FD12,631.1
D014,FD13,411.9
D014,FD14,1284.9
D014,FD15,1455.6
D014,FD16,1114.0
D014,FD17,1818.3
D014,FD18,1347.8
D014,FD19,1.7
D014,FD20,2211.7
D014,FD21,1956.5
D014,FD22,1728.6
D014,FD23,416.3
D014,FD24,1617.6
D014,FD25,2198.9
D014,FD26,994.4
D014,FD27,2320.4
D014,FD28,2525.0
D014,FD29,2402.6
D014,FD30,2546.6
D015,FD01,1303.5
D015,FD02,988.9
D015,FD03,218.5
D015,FD04,1928.4
D015,FD05,1076.1
D015,FD06,1681.0
D015,FD07,971.6
D015,FD08,103.4
D015,FD09,1972.7
D015,FD10,1392.6
D015,FD11,1126.9
D015,FD12,2667.7
D015,FD13,2670.2
D015,FD14,1437.0
D015,FD15,1476.3
D015,FD16,3047.6
D015,FD17,1204.8
D015,FD18,1423.0
D015,FD19,2717.0
D015,FD20,1163.0
D015,FD21,1123.5
D015,FD22,1547.0
D015,FD23,2367.0
D015,FD24,1440.5
D015,FD25,887.2
D015,FD26,3089.3
D015,FD27,1359.0
D015,FD28,1508.2
D015,FD29,560.3
D015,FD30,171.8
D016,FD01,1112.3
D016,FD02,423.3
D016,FD03,641.9
D016,FD04,1713.2
D016,FD05,886.1
D016,FD06,1289.5
D016,FD07,555.9
D016,FD08,462.5
D016,FD09,1680.2
D016,FD10,1207.3
D016,FD11,616.0
D016,FD12,2459.6
D016,FD13,2225.8
D016,FD14,1248.5
D016,FD15,958.4
D016,FD16,2863.1
D016,FD17,688.4
D016,FD18,1075.1
D016,FD19,2409.7
D016,FD20,607.2
D016,FD21,540.4
D016,FD22,1004.3
D016,FD23,2156.0
D016,FD24,930.9
D016,FD25,292.1
D016,FD26,2871.8
D016,FD27,803.9
D016,FD28,948.4
D016,FD29,6.5
D016,FD30,482.9
D017,FD01,2804.8
D017,FD02,3873.9
D017,FD03,3886.7
D017,FD04,2309.8
D017,FD05,2888.7
D017,FD06,3084.6
D017,FD07,3263.6
D017,FD08,3846.0
D017,FD09,2409.4
D017,FD10,2549.7
D017,FD11,3426.5
D017,FD12,1884.9
D017,FD13,2978.1
D017,FD14,2694.6
D017,FD15,3369.4
D017,FD16,1398.4
D017,FD17,3734.6
D017,FD18,2878.4
D017,FD19,2620.6
D017,FD20,4035.1
D017,FD21,3677.4
D017,FD22,3787.6
D017,FD23,2208.9
D017,FD24,3620.5
D017,FD25,3706.2
D017,FD26,1583.4
D017,FD27,4143.9
D017,FD28,4346.1
D017,FD29,3730.9
D017,FD30,3766.9
D018,FD01,1070.0
D018,FD02,647.9
D018,FD03,421.9
D018,FD04,1694.4
D018,FD05,840.9
D018,FD06,1448.7
D018,FD07,672.6
D018,FD08,242.4
D018,FD09,1743.9
D018,FD10,1162.2
D018,FD11,773.2
D018,FD12,2441.2
D018,FD13,2384.2
D018,FD14,1204.3
D018,FD15,1116.6
D018,FD16,2816.3
D018,FD17,847.2
D018,FD18,1147.4
D018,FD19,2486.8
D018,FD20,832.1
D018,FD21,766.5
D018,FD22,1189.6
D018,FD23,2138.1
D018,FD24,1089.1
D018,FD25,517.6
D018,FD26,2853.7
D018,FD27,1028.9
D018,FD28,1173.4
D018,FD29,223.0
D018,FD30,263.0
D019,FD01,597.6
D019,FD02,843.4
D019,FD03,650.1
D019,FD04,1220.4
D019,FD05,376.9
D019,FD06,1022.6
D019,FD07,357.4
D019,FD08,655.4
D019,FD09,1270.2
D019,FD10,689.5
D019,FD11,533.8
D019,FD12,1967.6
D019,FD13,2008.3
D019,FD14,730.2
D019,FD15,861.8
D019,FD16,2343.7
D019,FD17,726.4
D019,FD18,764.4
D019,FD19,2012.8
D019,FD20,1025.2
D019,FD21,723.6
D019,FD22,1067.9
D019,FD23,1664.7
D019,FD24,956.9
D019,FD25,626.5
D019,FD26,2380.1
D019,FD27,1187.7
D019,FD28,1364.7
D019,FD29,600.8
D019,FD30,543.0
D020,FD01,587.6
D020,FD02,617.9
D020,FD03,910.2
D020,FD04,1148.5
D020,FD05,393.1
D020,FD06,757.7
D020,FD07,7.6
D020,FD08,883.9
D020,FD09,1114.8
D020,FD10,711.1
D020,FD11,168.5
D020,FD12,1894.4
D020,FD13,1787.0
D020,FD14,697.5
D020,FD15,518.9
D020,FD16,2348.9
D020,FD17,361.6
D020,FD18,509.6
D020,FD19,1860.3
D020,FD20,773.8
D020,FD21,417.7
D020,FD22,702.7
D020,FD23,1590.7
D020,FD24,592.3
D020,FD25,468.7
D020,FD26,2306.8
D020,FD27,883.0
D020,FD28,1084.6
D020,FD29,559.6
D020,FD30,826.3
D021,FD01,511.6
D021,FD02,1712.1
D021,FD03,1725.4
D021,FD04,429.5
D021,FD05,724.3
D021,FD06,742.6
D021,FD07,1102.1
D021,FD08,1685.0
D021,FD09,529.5
D021,FD10,452.9
D021,FD11,1134.9
D021,FD12,1159.0
D021,FD13,1418.0
D021,FD14,402.8
D021,FD15,1014.9
D021,FD16,1325.6
D021,FD17,1278.3
D021,FD18,586.3
D021,FD19,1249.8
D021,FD20,1742.5
D021,FD21,1384.8
D021,FD22,1456.9
D021,FD23,855.7
D021,FD24,1267.2
D021,FD25,1562.6
D021,FD26,1388.9
D021,FD27,1851.5
D021,FD28,2053.9
D021,FD29,1616.5
D021,FD30,1605.6
D022,FD01,250.2
D022,FD02,1326.8
D022,FD03,1340.9
D022,FD04,814.7
D022,FD05,340.7
D022,FD06,792.7
D022,FD07,716.1
D022,FD08,1300.6
D022,FD09,917.3
D022,FD10,0.6
D022,FD11,874.5
D022,FD12,1468.7
D022,FD13,1671.4
D022,FD14,374.4
D022,FD15,856.3
D022,FD16,1656.8
D022,FD17,1073.2
D022,FD18,440.0
D022,FD19,1659.1
D022,FD20,1483.2
D022,FD21,1126.2
D022,FD22,1226.1
D022,FD23,1238.8
D022,FD24,1037.7
D022,FD25,1159.6
D022,FD26,1720.5
D022,FD27,1592.4
D022,FD28,1794.3
D022,FD29,1184.4
D022,FD30,1221.0
D023,FD01,897.3
D023,FD02,304.7
D023,FD03,1166.4
D023,FD04,1441.8
D023,FD05,780.6
D023,FD06,844.7
D023,FD07,388.7
D023,FD08,1022.7
D023,FD09,1406.9
D023,FD10,1126.0
D023,FD11,254.6
D023,FD12,2186.6
D023,FD13,1730.4
D023,FD14,990.6
D023,FD15,516.2
D023,FD16,2663.8
D023,FD17,144.3
D023,FD18,800.0
D023,FD19,1966.6
D023,FD20,351.1
D023,FD21,0.7
D023,FD22,466.6
D023,FD23,1882.2
D023,FD24,385.1
D023,FD25,246.4
D023,FD26,2598.9
D023,FD27,460.8
D023,FD28,662.7
D023,FD29,530.7
D023,FD30,1006.7
D024,FD01,1184.0
D024,FD02,2385.6
D024,FD03,2395.2
D024,FD04,691.4
D024,FD05,1394.8
D024,FD06,1465.9
D024,FD07,1775.2
D024,FD08,2354.7
D024,FD09,790.7
D024,FD10,1053.7
D024,FD11,1808.5
D024,FD12,560.4
D024,FD13,1253.2
D024,FD14,1077.1
D024,FD15,1751.6
D024,FD16,590.0
D024,FD17,2116.4
D024,FD18,1258.6
D024,FD19,899.5
D024,FD20,2415.3
D024,FD21,2057.7
D024,FD22,2169.1
D024,FD23,486.9
D024,FD24,2001.2
D024,FD25,2236.3
D024,FD26,653.2
D024,FD27,2524.1
D024,FD28,2726.9
D024,FD29,2238.9
D024,FD30,2275.4
D025,FD01,474.1
D025,FD02,726.8
D025,FD03,864.0
D025,FD04,1100.5
D025,FD05,276.9
D025,FD06,741.6
D025,FD07,116.0
D025,FD08,837.7
D025,FD09,1090.3
D025,FD10,595.7
D025,FD11,283.0
D025,FD12,1846.9
D025,FD13,1728.3
D025,FD14,610.3
D025,FD15,581.5
D025,FD16,2234.0
D025,FD17,477.6
D025,FD18,485.8
D025,FD19,1835.3
D025,FD20,889.6
D025,FD21,533.6
D025,FD22,818.9
D025,FD23,1543.4
D025,FD24,676.1
D025,FD25,574.4
D025,FD26,2259.3
D025,FD27,998.8
D025,FD28,1200.4
D025,FD29,629.8
D025,FD30,779.8
D026,FD01,626.6
D026,FD02,1746.4
D026,FD03,1876.0
D026,FD04,1.1
D026,FD05,1002.2
D026,FD06,776.2
D026,FD07,1152.6
D026,FD08,1836.7
D026,FD09,103.5
D026,FD10,802.9
D026,FD11,1188.2
D026,FD12,746.8
D026,FD13,1005.1
D026,FD14,495.3
D026,FD15,1062.6
D026,FD16,1224.4
D026,FD17,1426.9
D026,FD18,636.0
D026,FD19,838.8
D026,FD20,1793.2
D026,FD21,1435.9
D026,FD22,1479.6
D026,FD23,443.1
D026,FD24,1311.1
D026,FD25,1597.6
D026,FD26,1159.0
D026,FD27,1902.2
D026,FD28,2105.4
D026,FD29,1710.5
D026,FD30,1757.7
D027,FD01,650.7
D027,FD02,553.7
D027,FD03,1083.9
D027,FD04,1194.9
D027,FD05,564.7
D027,FD06,674.9
D027,FD07,176.8
D027,FD08,1027.0
D027,FD09,1160.4
D027,FD10,879.1
D027,FD11,0.4
D027,FD12,1940.0
D027,FD13,1611.6
D027,FD14,743.9
D027,FD15,344.2
D027,FD16,2417.3
D027,FD17,190.4
D027,FD18,554.0
D027,FD19,1795.7
D027,FD20,602.1
D027,FD21,245.0
D027,FD22,530.9
D027,FD23,1635.9
D027,FD24,420.6
D027,FD25,406.3
D027,FD26,2352.3
D027,FD27,711.7
D027,FD28,913.7
D027,FD29,610.9
D027,FD30,1000.2
D028,FD01,188.1
D028,FD02,1108.5
D028,FD03,1415.3
D028,FD04,636.9
D028,FD05,567.2
D028,FD06,352.5
D028,FD07,514.8
D028,FD08,1325.1
D028,FD09,604.7
D028,FD10,430.9
D028,FD11,550.3
D028,FD12,1382.2
D028,FD13,1233.0
D028,FD14,187.5
D028,FD15,424.9
D028,FD16,1859.7
D028,FD17,689.3
D028,FD18,5.4
D028,FD19,1349.9
D028,FD20,1156.1
D028,FD21,798.5
D028,FD22,867.2
D028,FD23,1078.3
D028,FD24,678.1
D028,FD25,959.9
D028,FD26,1794.5
D028,FD27,1265.5
D028,FD28,1468.0
D028,FD29,1073.0
D028,FD30,1266.9
D029,FD01,819.8
D029,FD02,686.4
D029,FD03,1486.2
D029,FD04,1320.8
D029,FD05,826.4
D029,FD06,600.7
D029,FD07,596.9
D029,FD08,1342.9
D029,FD09,1227.9
D029,FD10,1030.4
D029,FD11,420.0
D029,FD12,2055.5
D029,FD13,1352.3
D029,FD14,874.3
D029,FD15,259.3
D029,FD16,2532.9
D029,FD17,240.0
D029,FD18,676.9
D029,FD19,1625.4
D029,FD20,593.2
D029,FD21,376.5
D029,FD22,186.9
D029,FD23,1750.3
D029,FD24,0.6
D029,FD25,629.8
D029,FD26,2467.5
D029,FD27,703.4
D029,FD28,907.1
D029,FD29,914.4
D029,FD30,1326.3
D030,FD01,1002.3
D030,FD02,1294.4
D030,FD03,2022.1
D030,FD04,1047.9
D030,FD05,1328.0
D030,FD06,463.5
D030,FD07,1118.2
D030,FD08,1965.0
D030,FD09,926.8
D030,FD10,1244.7
D030,FD11,936.9
D030,FD12,1779.6
D030,FD13,862.1
D030,FD14,921.7
D030,FD15,598.5
D030,FD16,2258.0
D030,FD17,871.6
D030,FD18,811.6
D030,FD19,1281.0
D030,FD20,1072.0
D030,FD21,989.4
D030,FD22,553.9
D030,FD23,1319.3
D030,FD24,638.7
D030,FD25,1243.4
D030,FD26,2192.6
D030,FD27,1181.0
D030,FD28,1386.9
D030,FD29,1549.6
D030,FD30,1938.4
D031,FD01,1066.1
D031,FD02,2185.9
D031,FD03,2315.1
D031,FD04,444.4
D031,FD05,1441.7
D031,FD06,1207.2
D031,FD07,1591.9
D031,FD08,2275.8
D031,FD09,530.0
D031,FD10,1229.9
D031,FD11,1627.6
D031,FD12,349.5
D031,FD13,770.5
D031,FD14,934.3
D031,FD15,1494.8
D031,FD16,828.5
D031,FD17,1858.5
D031,FD18,1074.9
D031,FD19,418.2
D031,FD20,2232.0
D031,FD21,1874.6
D031,FD22,1911.4
D031,FD23,0.6
D031,FD24,1741.9
D031,FD25,2037.0
D031,FD26,763.2
D031,FD27,2340.7
D031,FD28,2544.3
D031,FD29,2149.7
D031,FD30,2196.8
D032,FD01,848.3
D032,FD02,451.0
D032,FD03,1247.8
D032,FD04,1429.0
D032,FD05,756.2
D032,FD06,698.5
D032,FD07,366.9
D032,FD08,1104.3
D032,FD09,1337.5
D032,FD10,1069.9
D032,FD11,197.0
D032,FD12,2164.8
D032,FD13,1586.0
D032,FD14,879.4
D032,FD15,370.8
D032,FD16,2642.0
D032,FD17,0.3
D032,FD18,684.2
D032,FD19,1820.8
D032,FD20,496.3
D032,FD21,141.9
D032,FD22,341.3
D032,FD23,1860.1
D032,FD24,240.6
D032,FD25,394.8
D032,FD26,2576.7
D032,FD27,606.5
D032,FD28,808.5
D032,FD29,689.2
D032,FD30,1088.0
D033,FD01,1695.9
D033,FD02,2491.3
D033,FD03,2946.8
D033,FD04,1127.8
D033,FD05,2072.3
D033,FD06,1344.3
D033,FD07,2106.8
D033,FD08,2907.6
D033,FD09,1026.3
D033,FD10,1934.2
D033,FD11,2013.6
D033,FD12,842.2
D033,FD13,498.4
D033,FD14,1566.9
D033,FD15,1682.1
D033,FD16,1142.1
D033,FD17,2044.4
D033,FD18,1629.2
D033,FD19,283.6
D033,FD20,2428.2
D033,FD21,2182.4
D033,FD22,1908.9
D033,FD23,697.8
D033,FD24,1847.4
D033,FD25,2425.3
D033,FD26,959.2
D033,FD27,2536.7
D033,FD28,2741.7
D033,FD29,2628.8
D033,FD30,2828.4
D034,FD01,979.2
D034,FD02,1090.0
D034,FD03,1860.4
D034,FD04,1217.5
D034,FD05,1165.6
D034,FD06,440.0
D034,FD07,955.9
D034,FD08,1769.8
D034,FD09,1036.2
D034,FD10,1222.5
D034,FD11,776.1
D034,FD12,1950.0
D034,FD13,1061.6
D034,FD14,899.5
D034,FD15,436.4
D034,FD16,2427.9
D034,FD17,667.1
D034,FD18,789.0
D034,FD19,1464.8
D034,FD20,867.4
D034,FD21,784.9
D034,FD22,349.5
D034,FD23,1644.0
D034,FD24,434.4
D034,FD25,1039.3
D034,FD26,2362.5
D034,FD27,976.7
D034,FD28,1182.4
D034,FD29,1323.7
D034,FD30,1752.9
D035,FD01,669.4
D035,FD02,1708.5
D035,FD03,1919.8
D035,FD04,109.3
D035,FD05,1045.5
D035,FD06,682.8
D035,FD07,1114.3
D035,FD08,1880.5
D035,FD09,1.1
D035,FD10,906.5
D035,FD11,1150.5
D035,FD12,841.0
D035,FD13,890.0
D035,FD14,539.6
D035,FD15,970.2
D035,FD16,1318.3
D035,FD17,1334.0
D035,FD18,601.5
D035,FD19,749.9
D035,FD20,1754.7
D035,FD21,1397.4
D035,FD22,1304.1
D035,FD23,536.6
D035,FD24,1217.9
D035,FD25,1559.9
D035,FD26,1252.7
D035,FD27,1863.6
D035,FD28,2067.2
D035,FD29,1672.5
D035,FD30,1801.5
D036,FD01,1742.8
D036,FD02,2443.5
D036,FD03,2994.3
D036,FD04,1176.1
D036,FD05,2119.5
D036,FD06,1352.4
D036,FD07,2115.2
D036,FD08,2934.2
D036,FD09,1073.8
D036,FD10,1981.2
D036,FD11,2016.8
D036,FD12,959.3
D036,FD13,408.8
D036,FD14,1614.8
D036,FD15,1680.3
D036,FD16,1265.2
D036,FD17,1997.5
D036,FD18,1676.5
D036,FD19,333.3
D036,FD20,2337.5
D036,FD21,2134.3
D036,FD22,1818.5
D036,FD23,745.6
D036,FD24,1757.0
D036,FD25,2384.6
D036,FD26,1082.1
D036,FD27,2446.0
D036,FD28,2651.3
D036,FD29,2631.9
D036,FD30,2875.7
D037,FD01,1365.1
D037,FD02,2483.2
D037,FD03,2612.5
D037,FD04,739.6
D037,FD05,1740.2
D037,FD06,1504.7
D037,FD07,1889.5
D037,FD08,2573.3
D037,FD09,828.6
D037,FD10,1454.1
D037,FD11,1924.8
D037,FD12,4.9
D037,FD13,1110.8
D037,FD14,1231.3
D037,FD15,1791.9
D037,FD16,493.7
D037,FD17,2155.9
D037,FD18,1373.2
D037,FD19,621.2
D037,FD20,2530.0
D037,FD21,2172.8
D037,FD22,2208.8
D037,FD23,340.7
D037,FD24,2040.0
D037,FD25,2334.1
D037,FD26,427.9
D037,FD27,2638.7
D037,FD28,2842.2
D037,FD29,2447.1
D037,FD30,2494.0
D038,FD01,1563.8
D038,FD02,584.8
D038,FD03,1586.5
D038,FD04,2109.9
D038,FD05,1447.5
D038,FD06,1504.5
D038,FD07,1054.7
D038,FD08,1406.5
D038,FD09,2073.3
D038,FD10,1792.7
D038,FD11,921.3
D038,FD12,2853.3
D038,FD13,2241.6
D038,FD14,1657.8
D038,FD15,1180.2
D038,FD16,3330.9
D038,FD17,807.4
D038,FD18,1465.9
D038,FD19,2530.4
D038,FD20,339.3
D038,FD21,661.9
D038,FD22,856.6
D038,FD23,2548.3
D038,FD24,911.5
D038,FD25,733.3
D038,FD26,3265.8
D038,FD27,275.6
D038,FD28,3.4
D038,FD29,943.5
D038,FD30,1428.0
D039,FD01,861.1
D039,FD02,881.3
D039,FD03,371.9
D039,FD04,1483.4
D039,FD05,641.3
D039,FD06,1242.1
D039,FD07,528.6
D039,FD08,399.1
D039,FD09,1533.4
D039,FD10,954.1
D039,FD11,708.5
D039,FD12,2230.9
D039,FD13,2228.2
D039,FD14,993.2
D039,FD15,1057.2
D039,FD16,2606.8
D039,FD17,898.7
D039,FD18,986.8
D039,FD19,2276.0
D039,FD20,1064.9
D039,FD21,898.2
D039,FD22,1240.1
D039,FD23,1928.1
D039,FD24,1130.8
D039,FD25,666.7
D039,FD26,2643.3
D039,FD27,1261.1
D039,FD28,1405.0
D039,FD29,478.3
D039,FD30,287.0
D040,FD01,607.3
D040,FD02,820.4
D040,FD03,1431.7
D040,FD04,1064.4
D040,FD05,736.8
D040,FD06,333.2
D040,FD07,528.3
D040,FD08,1374.5
D040,FD09,972.0
D040,FD10,851.9
D040,FD11,345.0
D040,FD12,1799.6
D040,FD13,1267.0
D040,FD14,618.6
D040,FD15,0.9
D040,FD16,2276.8
D040,FD17,373.4
D040,FD18,420.6
D040,FD19,1455.4
D040,FD20,864.9
D040,FD21,511.7
D040,FD22,443.5
D040,FD23,1494.7
D040,FD24,254.0
D040,FD25,755.5
D040,FD26,2211.4
D040,FD27,974.5
D040,FD28,1177.7
D040,FD29,958.7
